2025-06-26 09:48:25,420 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:25,422 | INFO | __main__ | No movie title found for review f373163e-6f97-4839-9479-e5dfdbdbf0d6
2025-06-26 09:48:25,703 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:25,705 | INFO | __main__ | No movie title found for review 2590d5f0-17ef-4a6e-ab38-37ad298061d4
2025-06-26 09:48:26,140 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:26,142 | INFO | __main__ | No movie title found for review c6c6203f-c747-4918-83f1-90e924f4cc61
2025-06-26 09:48:26,552 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:26,554 | INFO | __main__ | No movie title found for review 710d755e-9347-49f3-96e4-d3877ec86ea1
2025-06-26 09:48:27,061 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:27,064 | INFO | __main__ | No movie title found for review 1d1bf049-b869-4d15-b37c-2160fcef696c
2025-06-26 09:48:27,471 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:27,474 | INFO | __main__ | No movie title found for review bd05d1c9-8fd3-4740-8430-a76e07e620d4
2025-06-26 09:48:27,983 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:27,986 | INFO | __main__ | No movie title found for review 53b20ee2-a656-4a80-8f6c-400389f48e52
2025-06-26 09:48:28,493 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:28,495 | INFO | __main__ | No movie title found for review 8dc235c8-261c-4b7f-9df6-4eace5d19f29
2025-06-26 09:48:28,902 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:28,905 | INFO | __main__ | No movie title found for review 4b853a13-fbf4-4c1a-bddb-778b4fb24e7e
2025-06-26 09:48:29,210 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:29,213 | INFO | __main__ | No movie title found for review 48225c39-e773-4555-a420-f8edadc9b240
2025-06-26 09:48:29,619 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:29,621 | INFO | __main__ | No movie title found for review b7f1ca80-9e47-4e48-b03c-7995ddb1456e
2025-06-26 09:48:31,034 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:31,036 | INFO | __main__ | No movie title found for review 9891e9c0-252f-4ae5-a26a-a39ea241be87
2025-06-26 09:48:32,133 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
